text,label
Coming out to a loved one,20
Hunting for game in the wilderness,64
A teenage boy who has been bullied by his classmates every day for a year.,19
John is a skilled musician and every member of the band admires him for his talent.,92
A coalition building exercise between political parties in a coalition,11
You need to make a good impression.,28
Disagreeing with a friend or colleague and maintaining your boundaries.,44
A construction site where workers must wear protective gear and follow safety protocols.,51
A car accident on a busy highway,9
A teenager is struggling with depression and thoughts of self-harm.,35
"Competing in a game of skill or strategy, such as chess or poker",64
A support group member critiques your attitude during a session.,15
Wearing a shirt with a tight collar that chafes your neck.,80
Being recognized for a contribution to society or community.,45
Overwhelming debt,56
Attending a bachelor(ette) party,59
Enjoying a day off after working hard for weeks.,45
A community volunteer event where people can work together to benefit the community.,46
Waiting for medical test results,20
You experience discrimination and prejudice.,50
Improvised comedy shows,68
Getting a promotion at work.,45
A person is dealing with the emotional fallout of a traumatic event.,35
Dealing with a medical emergency or injury.,48
A cooking class at a community center.,87
Driving under the influence of drugs or alcohol.,52
"A job interview where the candidate expresses their excitement, nervousness or confidence.",38
A senior executive and a junior executive in a company,69
Finding out an item in your online shopping cart is out of stock,30
A student asking to copy your notes.,8
A group of siblings attending a parent-teacher conference for their younger sibling,41
A police officer abuses their power and mistreats marginalized individuals or communities.,98
Accused of sabotaging a project at work.,21
A boat tour with scenic views of the city skyline.,60
A writing competition where writers compare their creative skills,62
Jumping rope for cardio,77
A person choking on food,9
A salesperson talks down to you and assumes you know nothing about the product.,16
A professor publicly criticizes your research methodology.,15
Running a successful crowdfunding campaign,71
Not being able to keep up with the latest technology,56
Losing your luggage during a flight,26
A fellow volunteer tries to take charge of the project and ignores your suggestions.,16
A dog barks at a stranger.,61
A man struggling with erectile dysfunction and seeking medical help.,57
A coffee shop where people come to work on their laptops and socialize with friends.,60
Losing a beloved pet.,67
"Working on a construction site, carrying heavy loads and operating heavy machinery",64
Negotiating a salary raise with your employer.,44
Celebrity status,63
Blamed for causing a breakup in a romantic relationship.,21
You forget to take your medications.,50
A stock market crash with plummeting stocks,18
"A parent who raises children who are kind, compassionate, and successful.",90
Miss Universe Beauty pageant,27
Someone present (other than you) is counted on to do something.,42
"Your partner wants to have children, but you don't feel ready for parenthood.",70
The team is afraid of the coach who has a reputation for being unnecessarily harsh and unfair.,99
Taking a Zumba class at the gym,77
Someone needs or desires reassurance.,25
A doctor and a patient in a hospital,69
Taking a mixed-gender cooking class,59
A child is being bullied at school and fears for their safety.,35
"An individual is trying to balance taking care of an elderly parent, navigating a difficult divorce, and dealing with a sudden job loss.",1
A child plays with a toy.,61
Being diagnosed with a life-threatening illness.,67
A classroom where students must listen to the teacher and raise their hand to speak.,51
A horseback riding experience where the feeling of the horse's gait is critical.,49
Pilates and yoga classes,27
A gaming night where friends can play board games and socialize.,46
A nonprofit organization is juggling fundraising efforts with managing an ongoing emergency relief response to a natural disaster.,1
Your friends want to watch a movie that you think is inappropriate or uninteresting.,70
"Having a near-death experience, such as a car accident",54
Standing up to a bully or abusive partner.,44
"An overbearing spouse controls their partner's every movement, isolating them from friends and family.",98
A tour of a local museum or historic site.,87
A person is approached by a group of people who appear to be gang members.,34
A new employee needs to be trained for their job.,2
A boss uses aggressive tactics to intimidate employees into working harder.,97
Consulting with law enforcement agencies to solve complex cases.,12
Being in a spotlight at a theater production.,48
Going to a sporting event and being a spectator.,89
A teacher has to plan lessons down to the small details to ensure students understand the material.,10
A student takes notes in class.,61
A person listens to music.,61
A group of coworkers are trying to decide how to handle a conflict between two team members and seek advice from their supervisor.,94
A marathon.,24
A person is attacked by a wild animal while camping in the wilderness.,34
You have a poor diet.,50
A forum exploring the concept of consciousness and its relationship to the brain.,43
An interviewer compliments your resume during a job interview.,72
Experiencing a home invasion,14
Meeting with a wedding planner,28
A public figure who has used their platform to advocate for social justice and promote positive change in society.,91
"A scientist who has made significant advances in their field, with their research garnering widespread attention and acclaim.",91
Working on a group project with a mixed-gender team,59
A recruiter trying to convince you to join the military.,4
A social media influencer who has amassed a significant following and uses their platform to promote positive messages and causes.,91
Your spouse is counting on you to remember your anniversary.,5
Blamed for causing someone to lose their job.,21
A bustling business office during a workday.,76
A sporting event where fans must not enter the field or interfere with the game.,51
Being honored at a retirement party.,48
Eating your favorite food after a long period of dieting.,45
A chaotic kitchen during meal preparation.,76
A beauty pageant where contestants compare their physical appearance,62
Wearing a flowy sundress on a warm summer day,73
A political rally or protest where people can voice their opinions and socialize with others who share their views.,46
"Reaching a financial goal, providing stability and security.",45
Attending a book club meeting.,87
Running out of toilet paper during a bathroom break,30
Playing card games with your grandparents.,89
A sports competition where teams compete against one another,62
Sitting on a car or bus seat with a protruding spring.,80
Unwelcomed touching or harassment.,31
Playing a game of chess with oversized pieces outside on a giant chess board.,17
An actor or actress who delivers a critically acclaimed performance.,90
A weekend getaway with your significant other,0
Appearing in court as a defendant or plaintiff,28
An athlete has to practice and focus on small details to improve their performance.,10
You have a history of toxic relationships.,50
A young entrepreneur who has just launched a successful tech startup.,91
Having a power outage just as you're about to finish an important project,26
"When a person is living with HIV/AIDS, they may require specialized care and support.",75
Going on a double date,59
Ambition can be expressed or demonstrated.,55
A religious gathering with choir singing hymns,86
While waiting in line at a theme park or amusement park.,39
Setting on a camping trip and experiencing the great outdoors,0
A coach encourages their team to use aggressive tactics to win a game.,97
A child asking for a toy at the store.,8
A graduation ceremony where students compare their academic achievements,62
A coworker asking to borrow your pen during a meeting.,8
Getting a promotion or new job.,66
A religious pilgrimage to a holy site.,74
A personal trainer pushes you too hard and doesn't listen to your input or concerns.,16
A community theater production.,87
"A musician is writing and recording a new album while juggling conflicting tour schedules, artistic differences with band members, and personal issues.",1
A hike through a scenic mountain trail with friends,0
A family reunion,81
Your therapist recommends you make changes in your behavior.,15
In open-air theaters or musical performances.,6
A pastor conducting a wedding.,74
A debate on the role of religion in contemporary society.,43
Applying makeup and experimenting with different looks,73
Success requires cooperation.,71
A funeral service in a religious context.,74
A plant grows in sunlight.,61
A nightclub with thumping bass and screaming crowds.,40
You have poor sleep hygiene.,50
A client expresses their dissatisfaction with the product you sold them.,15
A holiday gathering where people express their festive spirit and emotions toward the occasion.,38
A sporting event where you both support the same team.,60
Accomplishing a lifelong goal or dream.,45
A networking event for professionals in the tech industry.,87
Getting a paper cut while working,30
Femininity can be expressed.,73
Finding out you've been cheated on or lied to,54
Going to an amusement park and enjoying the rides and attractions.,17
The situation includes small annoyances.,30
You experience chronic pain.,50
Applying for a role as an ambassador or diplomat,27
A scavenger hunt in a mall or shopping center.,17
A ballet performance with a live orchestra,86
A group of children taking turns jumping into a pile of autumn leaves.,17
Taking on a responsibility or task that is outside of your comfort zone,54
A couple debates whether to buy a house or continue renting.,32
A group of entrepreneurs seek advice from a successful business owner on how to raise capital for their start-up.,94
Relaxing on a sunny beach with a good book.,66
"An academic researcher who has made significant contributions to their field, with their work influencing the direction of future research and discovery.",91
A subway station during rush hour with the screeching sound of trains.,40
A celebrity actor or actress who consistently wows audiences with their talent.,93
A family barbecue with extended family members,41
A teacher trying to persuade you to take a particular course.,4
Being bullied at school or in the workplace.,58
Being fired from your job.,29
"A party where people can mix, dance, and chat.",46
Standing in a crowded subway car during rush hour.,80
Saying something offensive in a group conversation without realizing it.,85
An immersive experience in a virtual reality environment designed to simulate real-life scenarios.,43
Cindy is considered the most talented singer in the choir due to her mesmerizing voice.,92
Claire’s coworkers are all aware of her exceptional problem-solving skills.,92
Losing a wallet or purse.,29
"In a science museum, visitors discuss the latest discoveries in space exploration and their potential for future innovation.",33
Politics are relevant (for example a political discussion).,11
A delivery driver transporting packages all day.,78
Dressing up in silly costumes and dancing to music with friends.,17
Friends have differing opinions on which movie to see at the theater.,32
Recovering from addiction with a mixed-gender support group,59
Your partner wants to go on a vacation to a destination you're not interested in.,70
A doctor who cures a patient of a life-altering disease.,90
Paying for legal fees or settlements in the case of a lawsuit or dispute.,83
Going to a carnival and playing games to potentially win prizes,0
A group of musicians seek advice from a respected producer on how to improve their sound.,94
A doctor praises your healthy lifestyle choices.,72
"Paying for taxes and related expenses, including hiring a tax professional.",83
A theater group auditions actors for their next production.,53
A salesperson asking if you need help finding anything.,8
A person experiencing a stroke,9
A politician refusing to accept bribes,82
Your child is counting on you to get them to their soccer game on time.,5
A group of students debate the merits of different study techniques.,32
"A government is navigating political upheaval and protests, while managing a worsening economic crisis and a global pandemic.",1
A landlord uses aggressive tactics to intimidate a tenant into paying rent.,97
A parade with marching bands,86
"A startup is working to develop and launch a new product, while also struggling to manage its finances and gain market traction.",1
Having a friend or family member betray a confidence.,67
"During a political debate, candidates are expected to articulate their positions and respond to opposing viewpoints.",7
A tourist participating in elephant rides or other exploitative animal tourism.,36
"Your hairstylist insists on giving you a certain cut or style, even if it's not what you want.",16
Meeting someone for a blind date,27
A politician resorts to aggressive tactics to win an argument.,97
A job interview where applicants must dress professionally and answer questions truthfully.,51
Every actor in the play is in awe of Mark’s ability to memorize his lines flawlessly.,92
Someone may need reassurance that they will overcome a major obstacle in their life.,25
Going to an art exhibit and admiring famous works.,89
Being wrongly accused of a crime.,67
"A concert where the audience expresses their love, emotions, and admiration for the performer.",38
Acting as a protector or guardian in a relationship,64
"In a friendship, one person may always demand to choose the activities and locations for hanging out.",95
Having to ask others for financial help or assistance.,85
Attending a conference or trade show,88
A farmer's market with fresh produce and homemade snacks,79
You live in an area with poor water quality.,50
You receive a package or envelope with no return address and can't discern its contents.,13
A language exchange where you can learn and practice a new language together.,60
Q&A sessions,68
A bartender must use the right ingredients in a cocktail to make it taste perfect.,10
Your roommate is counting on you to pay your portion of the rent.,5
"You smell smoke in your building, but can't find the source or any other signs of a fire.",13
Your landlord is always interfering in your personal life and telling you how to live.,16
A basketball player shooting hoops alone on the court.,84
You're lost in a maze or labyrinth with unclear rules or directions.,13
A visit to a sensory deprivation tank where touch and sound are the only senses.,49
"Performing physically demanding manual labor, such as farming, logging, or mining",64
"A person in charge of organizing an event may impose their preferences on other members, without consulting them.",95
A teenager may need reassurance about their self-worth and body image.,25
In online discussion forums or chats.,6
A busy airport terminal with announcements blaring overhead.,40
A nurse administering medication to a patient against their wishes.,36
A dodgeball game.,24
Someone may need reassurance that their job is secure during a time of industry changes.,25
A travel group where people can explore new destinations together.,46
Sitting on a wet seat on public transportation,30
Walking alone at night in a rough neighborhood,14
A snowboarder hitting jumps in the terrain park.,84
Confronting a difficult coworker or boss,54
Traveling with a group,88
A spelling contest.,24
Quick action is necessary.,37
Talk show appearances,68
Stealing office supplies from work.,52
Receiving a compliment from someone you greatly admire.,45
"A lawyer is trying to win a high-stakes court case while also dealing with a difficult client, hostile opposing counsel, and personal life stressors.",1
A day of wine tasting with friends and good conversation,0
Losing a prestigious award or recognition.,67
Standing up for your beliefs in a political or social context.,44
Susan’s coworkers are all aware of her exceptional leadership abilities.,92
Standing up for one's beliefs and values in a public forum,64
Being physically assaulted by a random attacker,14
A family member compliments your cooking skills.,72
A late-night snack after a night out with friends,79
A shipping yard where vehicles must follow traffic patterns and not exceed weight limits.,51
A graphic designer has to pay attention to details in the design to create a superior product.,10
A journalist publishing anonymous sources without verifying the truth of the claims made.,36
A lawmaker and a constituent in government,69
Taking a driving test,20
A person encounters a wild animal while hiking.,34
A customer throws a tantrum to get better service in a restaurant.,97
Collaborating with other scientists to develop new technologies.,12
Speaking in public,68
A mechanic is present and is counted on to repair vehicles.,42
A man who has just learned that his wife is terminally ill and has only a few months to live.,19
Feeling like your personal space is being invaded.,31
Tangled headphones or earbuds,30
A child's sporting event with family support,81
A yoga class with tranquil music and dim lights.,60
Your mentor is counting on you to pass your final exam.,5
A student's schedule changing unexpectedly,18
Someone may need reassurance that they made the right decision in a difficult situation.,25
Family members disagree on where to go on vacation.,32
A karaoke night with friends at a bar,86
College admissions interview,28
A respected community leader who has made a significant impact in their locality.,93
A parent is worried about their child's safety while away at college.,35
The new employee at a company is feared by the other members because of her ability to outperform everyone.,99
Taking an exam or test that determines your future,54
A snorkeling excursion where the sensation of being underwater is important.,49
"A landlord imposes strict rules, such as no noise after 9 pm or no pets allowed.",98
A victim of domestic abuse who is afraid to leave their partner for fear of retaliation.,19
"Sitting in a park, watching the world go by.",39
A business meeting where one colleague is trying to impress the other with their expertise.,3
Caring for the elderly,20
A social media marketing seminar.,87
Failing a major exam or project.,67
Someone is attempting to dominate or boss you.,16
Refraining from interrupting someone during a conversation.,23
"Intelligence is important (for example an intellectual discussion, or a complex problem that needs to be solved).",12
"A judge dismisses alternative arguments or evidence, based solely on their own opinions.",98
Two coworkers argue about the best approach to a project.,32
A group of college roommates having a reunion,41
A diplomat and a citizen in a foreign country,69
Saving for a down payment on a house or property.,83
"Your friends want to split the bill evenly, but you didn't order as much as they did.",70
A group of athletes seek advice from a respected sports psychologist on how to maximize their performance.,94
Being rejected by a crush.,85
Being caught in a lie by someone important.,85
A team of researchers consult with a well-known scientist for advice on a complex research problem.,94
Your in-laws disapprove of your lifestyle choices.,15
A group of adults playing a game of hide and seek in a park at night.,17
Dominance2,96
A financial advisor trying to sell you an investment.,4
A person injured while hiking with no cell service,9
A book club where you can discuss your favorite novels.,60
A start-up is trying to navigate conflicting cultural norms and legal frameworks while trying to launch a new product in a foreign market.,1
Being the center of attention during a game or competition.,48
A group of parents consult with a respected pediatrician on how to develop healthy eating habits for their children.,94
A traveler may need reassurance that their flight will be safe and on time.,25
Meeting with a potential landlord for an apartment,28
A roommates who refuses to compromise and dictates household rules.,96
A first time parent with a newborn,20
Food is important in this situation.,79
Dancing gracefully in a ballet class,73
Forgetting your password after multiple attempts,26
Standing in line for hours without a break.,80
Your boss praises your work on a project during a team meeting.,72
A pilot must ensure that all the instruments on their aircraft are correctly calibrated before takeoff.,10
"During a business meeting, attendees are expected to contribute ideas and give updates on their work.",7
Blamed for misplacing important keys or documents.,21
Enjoying a spa day with luxurious treatments,73
A rapidly approaching deadline,18
Being blackmailed or threatened by someone.,58
Attending a stand-up comedy show with your partner.,89
A stranger interrupts your conversation to tell you they disagree with your opinions.,15
Being held hostage in a bank robbery,14
A musician must use the correct pitch and tone in their playing to create the right sound.,10
A person is stranded in the middle of the ocean on a boat with no rescue in sight.,34
A man is in a toxic work environment with a boss who constantly belittles him.,35
During a natural disaster like an earthquake or hurricane,20
Construction workers need to build a new bridge across a river.,2
A birthday party with cake and ice cream,79
The founder of a successful charity or non-profit organization.,93
A dance competition where dancers are trying to impress the judges with their moves.,3
A food challenge where participants eat extremely spicy or large amounts of food,79
During a job interview where the candidate is discussing their career goals and aspirations.,55
A swimmer practicing their technique in the pool.,84
Learning a new skill or hobby.,66
While taking a long bath in a hot tub.,39
Realizing you left something important at home,30
"The situation is relevant to your health (for example the possibility of illness, or a medical visit).",50
Receiving negative feedback on a project,56
Legal disputes,63
Having an important interview,54
Having your credit card declined when trying to make a purchase,26
A potluck party with friends and neighbors,79
Meeting a celebrity you have been a fan of for years.,45
A fisherman hauling in a large catch.,78
Online dating profile,27
A conductor is present and is counted on to direct an orchestra.,42
Being stuck in traffic on a tight schedule.,29
A holiday celebration with extended family,81
Deciding whether to date someone,22
A landlord who ignores tenant’s concerns and disregards their rights.,96
A partner asking to borrow your phone charger.,8
Getting into a car accident.,29
A romantic dinner date at a fancy restaurant,79
A roommate who disrespects boundaries may use personal items and disrupt their housemates' space and privacy.,95
A project leader who disregards team collaboration and assumes total control.,96
Having a disagreement or argument with a close friend or family member.,29
A strict teacher who insists on only one method of learning may disregard the needs of diverse students.,95
"During a courtroom trial, witnesses are expected to provide testimony and answer questions from attorneys.",7
Developing and launching new products in the technology industry.,12
A person is trapped in a car after a serious crash.,34
A translator is present and is counted on to interpret different languages.,42
Developing and designing algorithms to improve computer systems.,12
"A family dinner where members express their love, support, and emotions towards each other.",38
A driver is present and is counted on to transport passengers.,42
Someone is unhappy or suffering.,19
"A company is dealing with a cyber security attack, while simultaneously undergoing major leadership changes and implementing a new product strategy.",1
A bird flies in the sky.,61
A family vacation to the beach,81
Healthcare decisions,63
A presentation needs to be prepared for a business meeting.,2
Visiting a foreign country and experiencing new culture and cuisine,0
Panel discussions,68
On a long bus or train ride through scenic countryside.,39
Being the victim of domestic violence.,58
Managing stress in a healthy way instead of turning to unhealthy coping mechanisms.,23
A bustling train station during peak travel times.,76
A sports stadium during a game.,76
A scientist conducting research in a laboratory.,78
Your partner is counting on you to remember to pick up their dry cleaning.,5
A group of coworkers who are also close friends having a potluck dinner,41
A neighborhood clean-up day.,87
Completing a difficult challenge or task.,66
A club member congratulates you on being elected as president.,72
Being physically or emotionally abused.,67
Participating in a trivia night at a bar.,87
During religious ceremonies or services.,6
Being unable to control oneself in a drunken state and acting inappropriately.,85
Gunshots heard in a public place.,37
Dominance3,97
A person accidentally spills a drink on someone else in a crowded room.,47
Blamed for causing a family rift.,21
A teacher standing up for a student who is being bullied,82
Going to a theme park with a group of friends.,89
Someone may need reassurance that they will be able to get through a difficult illness.,25
A group of young children participate in an arts and crafts workshop at the local library.,53
A widow who is grieving the loss of her husband and trying to adjust to life without him.,19
Playing soccer with friends,77
A cooking competition where chefs are trying to impress the judges with their culinary abilities.,3
Being stuck in an elevator,20
A world-renowned chef who has won numerous awards for their culinary creations.,93
Staying focused on work instead of browsing social media.,23
A stranger tells you that you have a beautiful smile.,72
Defending someone else who is being bullied or unfairly treated.,44
A person is dealing with the loss of a job and financial instability.,35
Deciding on a career path,22
Printer malfunctions during an important document,30
Watching comedy skits on YouTube with your siblings.,89
"A comedian makes a joke about a sensitive topic, causing some people in the audience to get offended.",47
Investing in stocks or mutual funds to increase wealth and earn passive income.,83
Supporting charitable causes or making donations to non-profit organizations.,83
A surgeon refusing to perform a surgery for which they are not qualified,82
Asking for a refund or return for defective merchandise.,44
Being sexually assaulted by a stranger.,58
"During a job interview, candidates are expected to talk about their qualifications and experience.",7
Using someone else's Netflix or Spotify account without permission.,52
A public speaker who captivates and inspires a roomful of people with their words.,90
"In a religious gathering, members discuss their interpretation of sacred texts and their relevance in modern times.",33
A cooking competition.,24
A coach who encourages their players to use performance-enhancing drugs may prioritize winning over ethics.,95
A soldier who bravely saves lives during a war.,90
A golfer putting on the green to save par.,84
An online commenter leaves a negative review of your work.,15
Going to a concert for a favorite artist.,87
Minor details are important.,10
Transportation systems,63
A librarian is present and is counted on to help with research.,42
A wedding of a family member,81
A martial arts class sparring in the dojo.,84
A group of employees seek advice from their CEO on how to improve company morale.,94
Meeting your partner's family for the first time,27
A person is caught in a natural disaster such as a hurricane or tornado.,34
A nurse tending to patients in a hospital.,78
Joe’s colleagues are all aware of his exceptional mathematical abilities.,92
A group of activists seek advice from a respected politician on how to lobby for change.,94
Your doctor dismisses your concerns and talks down to you about your health.,16
A workshop on creative writing.,87
Your boss wants you to work overtime even though it was agreed upon that you would have a strict schedule.,70
A trivia night where players are trying to impress their teammates with their knowledge.,3
A peer leader who manipulates group dynamics to benefit themselves.,96
"A family member constantly tells you what to wear, how to do your hair, etc.",16
"Your colleagues are all taking a specific route to a meeting, but you prefer a different route.",70
The workspace is afraid of the one colleague who constantly gossips about others.,99
A live performance by a street musician,86
Toastmaster meetings,68
A politician trying to convince you to support a particular policy or bill.,4
Waiting for a delayed flight with no explanation,26
The engineering department is filled with admiration for Helen’s innovative designs.,92
Creating and implementing government policies based on research and analysis.,12
Sitting in a chair with a broken spring.,80
A successful entrepreneur who has built a lucrative business empire.,93
Confronting a coworker about poor performance or behavior.,44
Attending a mixed-gender art exhibition,59
Saying no to peer pressure to engage in harmful activities.,23
A workshop on developing creative solutions to global environmental problems.,43
When participating in a public speaking event or competition.,55
A gambler threatens violence to collect a debt from a fellow gambler.,97
Your coworker is counting on you to cover their shift on Saturday.,5
A doctor asking for your medical history during a checkup.,8
Enjoying a delicious meal with family and friends.,66
Not being able to understand a complex subject matter,56
Wearing jewelry and accessorizing an outfit,73
A professor and a graduate student in a university,69
A journalist who has broken important news stories and provided insightful analysis on critical issues.,91
A new parent is looking for advice on parenting.,65
A busy cafeteria filled with chattering students and clanging trays.,40
A wedding reception with an open bar and dance floor.,60
When being appointed to a high-profile committee or board of directors.,55
A group of cyclists racing down a winding road.,84
A yoga class accompanied by calming music,86
"Your partner wants to move in together, but you're not sure if you're ready yet.",70
A busy coffee shop during morning rush.,76
A mentor tells you how much they've seen you grow professionally.,72
"A street protest where people express their anger, frustration, and disappointment.",38
The situation is playful.,17
A colleague compliments your presentation.,72
Supporting a family member through addiction recovery,81
A counselor who refuses to accept alternative approaches or opinions.,96
A family member's religious ceremony,81
A shopping mall during holiday season sales.,76
A computer needs to be fixed after it crashes.,2
"A woman's phone rings during a quiet moment at a funeral, and the ringtone is a silly song.",47
An art therapist uses art to help a patient express their emotions.,53
"A school district is implementing a new curriculum while also dealing with teacher strikes, budget cuts, and student discipline issues.",1
A captain who refuses to accept any feedback from the team and insists on their way only.,96
Your donor is counting on you to use their contribution wisely.,5
Entertainment is present,89
When winning awards or recognition for their work.,55
Being forced into a marriage against one's will.,58
A musician plays an instrument.,61
In public libraries and study halls.,6
A teacher grading assignments late into the night.,78
Socially awkward situations,56
A sushi meal where the texture and taste of the food are crucial.,49
A rock climber scaling a vertical wall at the gym.,84
In video or audio call with friends or family.,6
A farmer harvesting crops in the fields.,78
"A chef who has been awarded multiple Michelin stars, and whose restaurants are consistently ranked among the best in the world.",91
Attending a religious service,88
Losing a competition,56
A busy gym with many people working out simultaneously.,76
A job needs to be done.,2
When negotiating a higher salary or benefits package.,55
Your client is counting on you to deliver a successful presentation.,5
Sexual relationships,63
Being coerced into staying in a romantic relationship.,58
A family member's retirement party,81
A college student surviving on ramen noodles and quick meals,79
A teacher and a student in a classroom,69
Being late to an important event and causing inconvenience or embarrassment for others.,85
A debate.,24
A missionary spreading their religious beliefs.,74
Deciding whether to expand a business,22
Injustice or unfair treatment.,31
A lawn needs to be mowed before it gets too tall.,2
A job fair where candidates compete for the same position,62
A road trip across the country with friends,0
Emotional threats are present.,35
A social media influencer promoting diet pills with harmful side effects.,36
An investor threatens their partner to make them invest more money.,97
Meeting a significant other’s family for the first time,20
A couple exploring tantric sex techniques.,57
Your partner criticizes everything you do and tells you how to do it better.,16
An entrepreneur uses dirty tricks to drive a competitor out of business.,97
A person is lost in a dense forest with no food or water.,34
"A journalist on a deadline, trying to finish an article.",78
Being called out for cheating on a test or assignment.,85
Someone needs help.,9
"A hospital where patients express their pain, suffering, and emotions to doctors and nurses.",38
In meetings with colleagues or superiors.,6
Cosmetic surgery and skin treatments,27
Being involved in a car accident.,67
Going on a first date with someone.,48
Managing a project that requires different skills and expertise,71
A calligrapher hand-writes invitations for a wedding.,53
A couple is trying to decide whether to have children.,65
A controlling partner manipulates their significant other into doing what they want.,98
Accused of being dishonest about your qualifications.,21
Children building sandcastles on a beach.,17
"During a TED Talk event, speakers and audience members engage in a discussion on cutting-edge ideas and solutions for global problems.",33
Someone needs to be taken care of.,75
A conference where speakers are trying to impress the audience with their knowledge and ideas.,3
A crowded festival or fairground with many events happening.,76
A musical instrument needs to be tuned before playing.,2
A landlord and a tenant in an apartment complex,69
A man struggling with porn addiction and seeking therapy.,57
A person being mugged on the street,9
Falsifying information on a resume or job application.,52
Talking is expected or demanded.,7
A car needs to be repaired before it can be driven again.,2
"A small business owner is dealing with a difficult coworker, a strained marriage, and mounting debt.",1
A car sinking in water.,37
"During a job performance review, employees are expected to provide feedback and discuss their goals.",7
Being reprimanded by a boss or supervisor in front of all coworkers.,85
Confronting someone about gossip or rumors.,44
You have a family history of chronic health conditions.,50
A doctor deciding whether or not to withhold life-saving treatment from a terminally ill patient.,36
A medical emergency with quickly changing symptoms,18
A child may need reassurance that the monster under their bed isn't real.,25
Taking charge and making decisions in a leadership role,64
Social media influence,63
A college student needs help choosing a major.,65
An athlete who breaks a record in their respective sport.,90
A person may need reassurance that their pet will recover from an illness.,25
Providing for and protecting one's family and loved ones,64
A person hears gunshots in their neighborhood.,34
A couple introducing a third partner into their sexual relationship.,57
Hiking in the mountains,77
Someone is trying to impress you.,3
A political candidate's campaign rally,11
The presence of members of the opposite sex is an important part of this situation.,59
Sarah is a brilliant student and every teacher in the school knows how talented she is.,92
Waiting in a doctor’s or dentist’s office.,39
Two friends exploring a BDSM dynamic for the first time.,57
Being stuck in traffic for hours.,67
A grandparent's 90th birthday celebration,81
An art exhibit where artists are trying to impress visitors with their artwork.,3
Hosting a tea party with friends,73
A gym where someone is trying to impress others with their workout routine.,3
"You receive a call informing you that a loved one has been involved in a serious accident, but the details are vague.",13
Paying rent or mortgage on time to avoid late fees or eviction.,83
A person is the victim of cyberbullying on social media.,35
A person experiencing an allergic reaction without an EpiPen,9
An interactive workshop on coding and its impact on the future.,43
Dating or being in a relationship,88
"A long-distance relationship where partners express their love, longing, and emotions through video calls or messages.",38
Carpooling with others,88
A soldier refusing to follow immoral orders,82
Blowing and chasing bubbles with friends.,17
Establishing clear expectations with a roommate or housemate.,44
"When an individual is admitted to hospital, they may require care for a range of medical conditions.",75
A manager uses threats to prevent an employee from quitting.,97
A dedicated volunteer who has made a significant impact in their community.,93
A family dinner where all members are present,41
Having to move away from friends and family.,67
"In a therapy session, clients are expected to talk about their thoughts and feelings.",7
A person watches a movie.,61
While on a long hike through nature trails.,39
Playing tennis at a local club,77
A religious leader trying to convince you to join their faith.,4
A school prayer before class.,74
"An artist whose work has been featured in prestigious galleries and museums, and whose creations are sought-after by collectors.",91
"During a family dinner, relatives argue about immigration policies and its impact on communities around the world.",33
Someone may need reassurance that their financial decisions are sound.,25
When founding a startup or launching a new business venture.,55
A religious figure who takes advantage of their followers' trust may manipulate them to fundraise and donate excessively.,95
"You arrive at the airport for your flight, but there is no sign of any planes or activity.",13
A dance class where physical contact with a partner is vital.,49
A human rights activist who has dedicated their life to fighting for the rights of marginalized and vulnerable communities.,91
A political candidate trying to get your vote.,4
An acquaintance is considering getting married.,65
Moving to a new home with family,81
Playing with a remote control car or helicopter.,17
Talking is permitted.,6
An athlete is recovering from a serious injury while simultaneously trying to make an Olympic team and navigate intense media scrutiny.,1
Military operations,63
A group of childhood friends catching up over drinks,41
A politician who has been elected to high office and implemented popular policies.,91
A customer at work insists on speaking to the manager or getting a discount every time they visit.,16
Accused of lying to cover up a mistake.,21
Masculinity can be expressed.,64
Running a red light or stop sign while driving.,52
A firefighter who saves people from a burning building.,90
"After a break-up, someone may need reassurance that they will find love again.",25
A diplomatic negotiation between two countries,11
A person seeking counsel from a religious leader.,74
Buying or renting a home,22
A nonprofit organization seeks advice from a respected grant writer on how to improve their grant applications.,94
Being blamed or falsely accused of something.,29
Neighbors have different opinions on how to handle pet waste clean-up.,32
A mechanic has to use the correct tool to fix a car or truck.,10
"A university is trying to create a more inclusive campus culture while also dealing with budget cuts, declining enrollment, and a lack of diversity among faculty.",1
The situation could arouse positive emotions.,66
Creating and implementing educational curriculum plans.,12
"A cashier accidentally gives a customer too much change, and the customer refuses to give it back, causing a scene in the store.",47
"Being discriminated against due to one's race, gender, sexual orientation, etc.",58
A theatre show where actors express their emotions and storytelling skills to the audience.,38
Joining a recreational sports league.,87
A museum or art gallery where people can view exhibits and discuss their interpretations.,46
Being yelled at or berated.,31
Your supervisor is counting on you to organize a company event.,5
Being betrayed by a business partner.,67
Buying a car or other mode of transportation for commuting or travel.,83
A group of friends volunteering together at a local charity,41
A group of volunteers seek advice from a respected community leader on how to organize a successful charity event.,94
Walking in shoes that are too tight.,80
A new parent may need reassurance that they are doing a good job raising their child.,25
A parent trying to convince you to pursue a certain career.,4
A group of friends seek guidance from a respected therapist on how to navigate a difficult interpersonal conflict.,94
A singing competition where contestants compare their vocal abilities,62
A park with a picturesque pond where you can feed the ducks.,60
In theatres while watching movies or plays.,6
The office is afraid of the one employee who always takes things too far during office jokes and gatherings.,99
A YouTube influencer who values their image may push their followers to engage in behavior that could hurt them.,95
